# ----------------------------------------
# Quelle/Medium
# Account: Flowbeaver GmbH
# Property: flowbeaver.de
# ----------------------------------------
# 
# All Users
# Start date: 20260319
# End date: 20260403
Session source / medium,Total users,New users,Sessions,Bounce rate,Views per session,Average session duration,Average engagement time per session,Key events,Session key event rate,Event value
(direct) / (none),9,6,12,0.25,1.75,531.0376275833333,30.416666666666668,2,0.16666666666666666,0.2
google / cpc,7,6,11,0.45454545454545453,3.1818181818181817,942.5088912727274,75.9090909090909,2,0.18181818181818182,0.2
google / organic,4,3,4,0,5,217.63444224999998,98.5,3,0.5,2.1
ads.google.com / referral,1,0,1,0,1,87.372533,86,0,0,0
chatgpt.com / (not set),1,1,1,1,1,0,0,0,0,0
linkedin.com / referral,1,1,1,1,1,3.546105,3,0,0,0
