# ----------------------------------------
# Landingpages
# Account: Flowbeaver GmbH
# Property: flowbeaver.de
# ----------------------------------------
# 
# All Users
# Start date: 20260319
# End date: 20260403
Landing page,Sessions,Total users,New users,Bounce rate,Views per session,Average session duration,Average engagement time per session,Key events,Session key event rate,Event value
/,15,14,10,0.26666666666666666,2.6666666666666665,491.9838675333333,41.8,4,0.2,2.2
/ki-belegerkennung,13,9,7,0.3076923076923077,3,793.3490417692308,80.23076923076923,3,0.23076923076923078,0.3
(not set),2,1,0,1,0,4.105093,6.5,0,0,0
