# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: Flowbeaver GmbH
# Property: flowbeaver.de
# ----------------------------------------
# 
# All Users
# Start date: 20260210
# End date: 20260309
First user primary channel group (Default Channel Group),Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Paid Search,48,48,0,44.104166666666664,0.6875,231,4,0.0625
Direct,25,22,2,72.95652173913044,1.173913043478261,248,7,0.13043478260869565
Cross-network,16,16,0,9.9375,0.25,57,0,0
Display,9,7,1,3,0.25,29,0,0
Organic Search,5,5,0,331,0.8,47,0,0
Referral,3,3,1,45.333333333333336,1.6666666666666667,86,2,0.3333333333333333
Unassigned,1,1,0,37,1,5,0,0
