id;verified_tier;name;domain;website;city;region;estimated_size;total;fibu_score;recruiting_score;digital_score;datev_score;size_score;growth_score;process_score;tools_score;decision_maker_score;trigger_score;summary;review_notes;contact_1_name;contact_1_role;linkedin_company;team_page_url;career_page_url
759;A;DATEV Unternehmen online - Bert & Daiber Steuerberater in Darmstadt;bert-daiber.de;https://bert-daiber.de/digitale-kanzlei/datev-unternehmen-online/;Darmstadt;rhein_main;26;14;2;2;2;2;1;2;1;0;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: buchführung, rechnungswesen, bilanz | Recruiting: karriere, wir suchen, bewerbung, steuerfachangestellte | Digital: digitale kanzlei, datev unternehmen online, datev, cloud;;;;https://bert-daiber.de/digitale-kanzlei/datev-unternehmen-online/;https://bert-daiber.de/karriere/
717;A;Dreger Steuerberater bei Wiesbaden - Jetzt kostenfreies Erstgespräch vereinbaren!;dreger-steuerberater.de;https://dreger-steuerberater.de/steuerberater-wiesbaden/;Wiesbaden;rhein_main;25;15;2;2;2;2;1;0;2;0;2;2;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, bilanz | Recruiting: stellenangebot, karriere, offene stellen, wir suchen | Digital: digitale buchhaltung, datev unternehmen online, datev, digital;;;;https://dreger-steuerberater.de/team/;https://dreger-steuerberater.de/karriere/
225;A;Digitale Kanzlei 2020 - Steuerberater Capellmann und Partner mbB;steuerberater-capellmann.de;https://steuerberater-capellmann.de/digitalekanzlei2020/;Berlin;berlin_brandenburg;23;14;2;2;2;2;1;2;0;0;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: fibu, buchführung, bilanz | Recruiting: karriere, bewerbung, steuerfachangestellte, finanzbuchhalter | Digital: digitalisierung, digitale kanzlei, datev, papierlos;;;;https://steuerberater-capellmann.de/digitalekanzlei2020/;https://steuerberater-capellmann.de/karriere/
234;A;Knappworst Steuerberater in Potsdam & Berlin - Steuerberatung : Existenzgründung, Umstrukturierung, Sanierung von Unternehmen, Kostenrechnung;knappworst.de;https://www.knappworst.de/;Potsdam;berlin_brandenburg;19;13;2;2;2;2;1;0;2;0;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, rechnungswesen, jahresabschluss | Recruiting: karriere, jobs, bewerbung, steuerfachangestellte | Digital: digitalisierung, digitale buchhaltung, datev, digital;;;;https://www.knappworst.de/kanzlei/ueber-uns/;https://www.knappworst.de/kanzlei/karriere/
367;A;Digitale Buchhaltung | Steuerberater Weise | Digital - Weise Steuerberater Düsseldorf;weise-steuerberater.de;https://www.weise-steuerberater.de/digital/;Düsseldorf;nrw;19;13;2;2;2;2;1;0;1;1;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, jahresabschluss | Recruiting: stellenangebot, jobs, bewerbung, steuerfachangestellte | Digital: digitalisierung, digitale buchhaltung, datev unternehmen online, datev;;;;https://www.weise-steuerberater.de/ueber-uns/;https://jobs.weise-steuerberater.de/
518;A;Steuerberater Bonn - Dr. Lang - Arzt, Zahnarzt, Heilberufe, Bonn;steuerberatung-dr-lang.de;https://www.steuerberatung-dr-lang.de/;Bonn;nrw;18;17;2;2;2;2;1;2;2;1;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, jahresabschluss, bilanz | Recruiting: karriere, jobs, steuerfachangestellte, bilanzbuchhalter | Digital: digitalisierung, datev unternehmen online, datev, cloud;;;;https://www.steuerberatung-dr-lang.de/unser-team/;https://www.steuerberatung-dr-lang.de/karriere/
175;A;DATEV Unternehmen online - Tool zur Erfassung von Eingangsrechnungen | Schürmann Steuerberatungsgesellschaft;steuerberater-berlin-schuermann.de;https://www.steuerberater-berlin-schuermann.de/digitalisierung/datev_unternehmen_online/;Berlin;berlin_brandenburg;17;13;2;2;2;2;1;0;1;0;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, rechnungswesen, jahresabschluss | Recruiting: karriere, offene stellen, jobs, steuerfachangestellte | Digital: digitalisierung, datev unternehmen online, datev, belegupload;;;;https://www.steuerberater-berlin-schuermann.de/wir_ueber_uns/kanzleileitung/;https://jobs.steuerberater-berlin-schuermann.de/
20;A;DATEV Unternehmen Online - RD Partner;rdpartner.de;https://www.rdpartner.de/kanzlei-service/datev-unternehmen-online/;München;muenchen_stuttgart;14;10;1;2;1;2;1;0;0;0;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, jahresabschluss | Recruiting: karriere, bewerbung, steuerfachangestellte, initiativbewerbung | Digital: datev unternehmen online, datev;;;;https://www.rdpartner.de/kanzlei-service/datev-unternehmen-online/;https://www.rdpartner.de/kanzlei/karriere/
660;A;Digitale Angebote - JAS - Steuerberater Frankfurt am Main;j-a-s.eu;https://j-a-s.eu/digitale-angebote/;Frankfurt;rhein_main;13;13;1;2;2;2;1;0;1;1;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: buchführung, bilanz | Recruiting: karriere, offene stellen, bewerbung, steuerfachangestellte | Digital: digitalisierung, datev unternehmen online, datev, papierlos;;;;https://j-a-s.eu/ueber-uns;https://j-a-s.eu/karriere
688;A;Ihr Steuerberater und Wirtschaftsprüfer aus Frankfurt;wesst.de;https://wesst.de/;Frankfurt;rhein_main;12;13;2;2;2;2;1;1;1;0;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, fibu, buchführung, rechnungswesen | Recruiting: karriere, steuerfachangestellte, bilanzbuchhalter, lohnbuchhalter | Digital: digitalisierung, digitale kanzlei, digitale buchhaltung, datev;;;;https://wesst.de/ueber-uns;https://wesst.de/karriere
